,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,Action
admin::merchandise::product_types,index
admin::merchandise::product_types,new
admin::merchandise::product_types,show
admin::merchandise::product_types,update
admin::merchandise::products,activate
admin::merchandise::products,add_properties
admin::merchandise::products,create
admin::merchandise::products,destroy
admin::merchandise::products,edit
admin::merchandise::products,index
admin::merchandise::products,new
admin::merchandise::products,show
admin::merchandise::products,update
admin::merchandise::products::descriptions,edit
admin::merchandise::products::descriptions,update
admin::merchandise::properties,create
admin::merchandise::properties,destroy
admin::merchandise::properties,edit
admin::merchandise::properties,index
admin::merchandise::properties,new
admin::merchandise::properties,show
admin::merchandise::properties,update
admin::merchandise::prototype_properties,create
admin::merchandise::prototype_properties,destroy
admin::merchandise::prototype_properties,edit
admin::merchandise::prototype_properties,index
admin::merchandise::prototype_properties,new
admin::merchandise::prototype_properties,show
admin::merchandise::prototype_properties,update
admin::merchandise::prototypes,create
admin::merchandise::prototypes,destroy
admin::merchandise::prototypes,edit
admin::merchandise::prototypes,index
admin::merchandise::prototypes,new
admin::merchandise::prototypes,show
admin::merchandise::prototypes,update
admin::merchandise::summary,index
admin::merchandise::variants,create
admin::merchandise::variants,destroy
admin::merchandise::variants,edit
admin::merchandise::variants,index
admin::merchandise::variants,new
admin::merchandise::variants,show
admin::merchandise::variants,update
admin::merchandise::wizards::brands,create
admin::merchandise::wizards::brands,index
admin::merchandise::wizards::brands,update
admin::merchandise::wizards::product_types,create
admin::merchandise::wizards::product_types,index
admin::merchandise::wizards::product_types,update
admin::merchandise::wizards::products,create
admin::merchandise::wizards::products,new
admin::merchandise::wizards::properties,create
admin::merchandise::wizards::properties,index
admin::merchandise::wizards::properties,update
admin::merchandise::wizards::prototypes,update
admin::merchandise::wizards::shipping_categories,create
admin::merchandise::wizards::shipping_categories,index
admin::merchandise::wizards::shipping_categories,update
